time_steps,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0,-1,1,-1,0,-2,-7,-1,1
1,1,-1,0,-1,-2,-8,-1,-1
2,-1,-1,-2,-3,-3,-10,-2,-1
3,-1,-2,-1,0,1,6,-2,-1
4,0,-2,-1,-2,-1,-2,-2,-1
5,-1,-1,-2,0,-2,-1,-1,-2
6,-1,0,-1,-2,0,1,0,-1
7,0,0,0,-2,-3,-5,-2,-1
8,-1,-1,-3,0,0,-1,-1,-1
9,0,-1,-1,-1,1,2,-1,-1
10,0,-2,-1,-1,1,1,-1,0
11,-1,1,-1,0,-4,-3,-1,-2
12,0,-2,0,0,0,-1,-1,-2
13,-1,-1,-2,-1,0,-2,-1,-1
14,0,-2,2,1,1,-1,0,0
15,0,-2,-2,1,2,1,-1,0
16,-2,2,0,-1,-4,-6,-1,1
17,-2,0,-2,-2,-2,-1,0,0
18,-3,0,-2,0,-3,2,-2,-1
19,0,0,-3,-2,-3,-4,-2,-1
20,0,-1,0,-1,1,-2,0,-1
21,-1,0,1,-1,2,-3,1,1
22,0,1,-1,-1,0,6,1,0
23,-2,-1,0,-1,0,-2,0,-1
24,-1,-3,-1,1,0,1,-2,0
25,0,1,-2,-1,-1,-8,0,1
26,-2,0,-1,-1,-3,-8,-1,-3
27,-2,-2,-2,-3,-1,-1,-1,-1
28,-1,-1,-2,0,-2,1,-1,1
29,-1,-1,0,1,0,-7,-1,0
30,0,0,0,-1,1,-3,-2,0
31,-1,-1,0,-1,1,15,-1,-1
32,0,-2,1,0,0,0,0,-1
33,-2,-2,-2,-2,-4,0,0,-2
34,-1,0,0,-1,-2,-1,-1,-1
35,-3,0,-1,-1,0,0,-1,-2
36,-1,0,0,-1,2,-2,0,0
37,-2,1,0,-2,-1,0,2,-1
38,-2,-1,-2,0,-1,-2,0,-2
39,0,-3,-2,0,1,-4,-1,2
40,-1,-1,-3,-1,2,18,-2,-1
41,1,-1,0,0,0,-6,0,-1
42,0,-1,0,-2,-4,-1,-2,0
43,-1,-1,0,-2,-1,-4,-1,-1
44,0,0,-2,-1,-3,-10,0,-1
45,-1,0,-2,-1,-3,0,-2,-1
46,-2,1,-1,1,2,-5,0,0
47,1,-1,-1,0,-2,0,-1,0
48,0,-1,-1,-1,0,-4,1,0
49,0,0,-1,0,-3,4,0,0
50,0,-1,-1,1,0,-6,1,1
51,0,0,-2,-1,1,2,0,-3
52,-3,-1,0,-1,-1,-2,-1,-2
53,-3,-2,-4,-2,-6,-3,-2,-3
54,1,-1,-2,-4,0,3,-1,-1
55,0,-1,1,-1,0,10,-1,-1
56,1,-1,0,1,-3,-8,0,-1
57,0,-1,-2,2,1,-7,-1,-2
58,-2,-1,0,-2,2,8,0,-3
59,-1,-2,0,-2,-2,-13,-2,-1
60,1,-1,1,-1,-1,16,-1,0
61,0,-1,1,-1,-1,-4,0,-2
62,-1,-1,1,1,2,1,-2,-1
63,-2,-2,-2,-3,-3,-7,-1,0
64,-3,-2,-2,-2,-1,0,-1,-1
65,-1,-2,0,-2,2,-1,-1,1
66,-1,-1,-3,-1,-5,1,-3,-2
67,-2,2,1,2,0,-2,-2,-2
68,0,-1,-1,0,-2,-6,-1,-1
69,0,1,-1,-2,-1,6,1,-1
70,-3,-2,-2,-1,-1,-9,-2,-1
71,0,-2,-1,1,-1,4,0,-2
72,1,-1,-2,-3,-1,-4,-1,-2
73,-2,-1,-2,-3,-2,0,-1,-1
74,1,1,1,0,-1,0,-1,1
75,-2,0,0,-1,-3,-1,1,-1
76,-3,1,-1,0,2,-2,-4,0
77,1,0,0,-3,0,-4,-1,-3
78,-1,-1,-3,2,0,-1,0,-1
79,1,-1,-2,-2,1,18,0,0
80,0,-1,1,-3,2,-3,-3,-7
81,-3,-2,-1,0,-10,-3,-3,10
82,3,-1,-2,-6,-1,11,8,7
83,2,0,1,4,0,-17,2,-2
84,-2,-2,-1,1,4,2,-1,-5
85,-2,-2,0,1,3,1,-3,-6
86,-2,-3,-1,-1,-2,-8,-5,-3
87,0,0,-2,-1,-3,-6,-2,-1
88,0,0,-1,-1,-5,-3,1,1
89,0,-2,-1,-2,2,-5,-1,-1
90,-1,-2,-1,-1,-2,3,0,1
91,-2,0,-1,-1,-2,-5,-3,-2
92,-2,-1,-1,0,-3,-4,-1,0
93,0,1,1,0,-1,4,1,1
94,-1,-1,1,-2,-1,-5,-1,-2
95,-1,1,0,0,1,13,0,-2
96,-2,0,-3,0,-5,-1,-6,0
97,-3,-1,-4,-2,-1,-4,5,-3
98,-1,-1,0,1,0,1,1,-7
99,0,-1,1,-1,1,-6,4,7
100,1,0,0,3,-2,0,11,12
101,1,0,-1,-1,6,-12,-2,-5
102,-5,2,0,0,3,22,-3,-13
103,-2,0,-1,1,-4,-21,-1,13
